site_id,lat,lon,AI,regime,sensitivity,n_obs,n_years
AT-Neu,47.116318,11.320229,1.7622854709625244,Humid regions,-0.2256570770792619,235,8
AU-ASM,-22.283,133.249,0.142369657754898,Drylands,-0.2858856646750475,473,12
AU-Boy,-32.477093,116.938559,0.2576436400413513,Drylands,0.1114872414961108,213,6
AU-Cum,-33.615278,150.723611,0.6242175102233887,Drylands,-0.3956146612669313,366,8
AU-Emr,-23.85872,148.4746,0.3064582347869873,Drylands,0.3637514387796607,60,3
AU-Lit,-13.17904,130.79455,0.886947512626648,Humid regions,-0.4081223079090309,220,5
AU-Lon,-23.52327,144.31042,0.180241197347641,Drylands,-0.4453829397534499,168,4
AU-Rgf,-32.506102,116.966827,0.2720711231231689,Drylands,-0.0227766672279893,275,8
AU-Rig,-36.6499,145.5759,0.4048489928245544,Drylands,-0.6081321707393506,230,6
AU-Sam,-27.38806,152.87778,0.7739920020103455,Humid regions,-0.4890336895509843,328,8
AU-Wac,-37.4259,145.1878,0.7871108055114746,Humid regions,-0.2101727111602518,127,4
AU-Whr,-36.6732,145.0294,0.389158546924591,Drylands,-0.5721831080957432,219,6
AU-Wom,-37.422506,144.094046,0.7227389812469482,Humid regions,0.3727775704882271,406,11
AU-Wrr,-43.09502,146.65452,1.797516107559204,Humid regions,0.412587814483046,256,7
AU-Ync,-34.9878,146.2908,0.2677907049655914,Drylands,-0.1746450840319716,399,10
BE-Dor,50.311876,4.968113,1.177566647529602,Humid regions,0.0107723598956599,527,12
BE-Lcr,51.11218,3.85043,1.116007924079895,Humid regions,0.201409040319966,159,4
BE-Lon,50.5516198,4.7462339,1.136434555053711,Humid regions,0.0447984991845118,643,17
BE-Vie,50.304962,5.998099,1.6054747104644775,Humid regions,0.2928658441525882,299,7
BJ-Bfg,9.791,1.718,0.703283429145813,Humid regions,-0.0755331565959903,156,5
BJ-Nhu,9.74,1.6,0.6905951499938965,Humid regions,-0.1237900502607325,332,8
CA-ARB,52.695,-83.9452,1.3836933374404907,Humid regions,0.3898192770216479,299,12
CA-ARF,52.7008,-83.955,1.3701261281967163,Humid regions,-0.0832280116361563,289,12
CA-Ca1,49.8673,-125.3336,2.615351438522339,Humid regions,-0.2317787291398366,342,8
CA-Cbo,44.3184,-79.9341,1.31347918510437,Humid regions,0.0511217449417977,624,16
CA-Gro,48.2167,-82.1556,1.4249821901321411,Humid regions,-0.0900688788392405,418,12
CA-MA2,50.171,-97.8762,0.8765207529067993,Humid regions,-0.0331799492084903,58,3
CA-Mer,45.4094,-75.5186,1.4608154296875,Humid regions,0.198472534629487,590,18
CA-PB2,54.9389,-83.4736,1.4205223321914673,Humid regions,-0.3356097880045431,86,5
CA-Qfo,49.6925,-74.3421,1.9958510398864744,Humid regions,-0.109403932532005,207,8
CA-SF1,54.485,-105.8176,0.9048725366592408,Humid regions,-0.2559724207683304,88,4
CA-SF2,54.2539,-105.8775,0.8684145212173462,Humid regions,-0.1773739795727797,83,4
CA-SF3,54.0916,-106.0053,0.8400970101356506,Humid regions,-0.0236523826384169,105,5
CA-SJ2,53.945,-104.649,0.8754532337188721,Humid regions,0.0747625520023619,157,6
CA-TP4,42.7102,-80.3574,1.3142297267913818,Humid regions,0.0267936393611239,618,20
CA-TPD,42.6353,-80.5577,1.3303757905960083,Humid regions,-0.4068020272574753,453,11
CH-Aws,46.583111,9.790639,3.0345911979675293,Humid regions,0.3805486965078296,286,12
CH-Dav,46.81533,9.85591,2.174564838409424,Humid regions,0.3458220668887223,149,12
CH-Fru,47.115833,8.537778,1.8183612823486328,Humid regions,0.0855351253293259,415,17
CH-Oe1,47.1712,7.436,1.4113061428070068,Humid regions,-0.2805476367380613,329,9
CH-Oe2,47.286417,7.73375,1.6032023429870603,Humid regions,-0.2307383384555914,771,19
CL-SDP,-41.879,-73.666,3.2626047134399414,Humid regions,0.2283689262580941,260,7
CN-Aro,38.04734,100.46432,0.8975268602371216,Humid regions,0.3918310395867685,233,6
CN-Ash,24.53806,101.02917,0.8820949792861938,Humid regions,0.0068148472355817,379,9
CN-BeO,40.02621,116.39143,0.4706131219863891,Drylands,-0.2229520296135024,344,8
CN-Dmn,38.85551,100.37223,0.2188539505004882,Drylands,-0.1066489417468474,418,10
CN-Dsh,38.83992,98.9406,1.2388075590133667,Humid regions,0.1261801621630715,215,6
CN-Du2,42.0467,116.2836,0.4383864998817444,Drylands,-0.2532995889530934,260,7
CN-Dzo,19.546,109.475,1.1933265924453735,Humid regions,0.0549580331708624,283,7
CN-Erg,50.1869,119.3889,0.4932807683944702,Drylands,-0.2437539190703622,78,3
CN-GuT,34.35481,100.4872,1.3505192995071411,Humid regions,0.0914818743807625,108,3
CN-Ha2,37.6086,101.3269,1.3518540859222412,Humid regions,0.1498033752314391,208,7
CN-HaM,37.607432,101.332,1.3518540859222412,Humid regions,0.1310906837041551,376,10
CN-HeM,41.99029,101.13349,0.022493103519082,Drylands,0.1031180266899888,344,8
CN-Jzh,41.14806,121.20167,0.5249541997909546,Drylands,0.4836923562696463,212,5
CN-Lch,37.88936,114.69289,0.4538158476352691,Drylands,-0.0515962240485475,400,10
CN-Lsh,45.279839,127.578206,0.7860861420631409,Humid regions,-0.1535490178392392,181,5
