panel,pathway,bin_index,log10_ai_center,ai_center,n_pixels,q25,median,q75
b,VPD,0,-1.480830766192332,0.0330498302953957,1696,-0.3150236532092094,-0.2244858965277671,-0.1235697977244854
b,VPD,1,-1.3967348080163209,0.0401111572461833,3091,-0.3143476396799087,-0.2322130352258682,-0.137637123465538
b,VPD,2,-1.3126388498403094,0.0486811859924191,8256,-0.4147196933627128,-0.3126448392868042,-0.1864285953342914
b,VPD,3,-1.2285428916642984,0.0590822612043684,15579,-0.4926190972328186,-0.3245939612388611,-0.1875405833125114
b,VPD,4,-1.144446933488287,0.0717055987412634,26417,-0.5164119601249695,-0.3051939904689789,-0.1048443615436554
b,VPD,5,-1.0603509753122755,0.0870260004615889,34201,-0.3909049332141876,-0.2045564949512481,-0.0133048836141824
b,VPD,6,-0.9762550171362644,0.1056197129553043,45851,-0.2932683974504471,-0.1250239759683609,0.0042356229387223
b,VPD,7,-0.8921590589602533,0.1281861019188702,59658,-0.2534756809473037,-0.0607962477952241,0.0082096573896706
b,VPD,8,-0.808063100784242,0.1555739574117992,73160,-0.2021890506148338,-0.0286458926275372,0.0153247525449842
b,VPD,9,-0.7239671426082308,0.1888134194148965,88042,-0.1659751310944557,-0.0174989514052867,0.0252454760484397
b,VPD,10,-0.6398711844322196,0.229154724506878,91377,-0.1663334965705871,-0.0384085774421691,0.0172312781214714
b,VPD,11,-0.5557752262562083,0.2781152310389237,89362,-0.1452347375452518,-0.0446026585996151,0.0114605540875345
b,VPD,12,-0.471679268080197,0.3375364915660397,81595,-0.109416801482439,-0.0243971664458513,0.0131416446529328
b,VPD,13,-0.3875833099041857,0.4096535192017796,76037,-0.0907025262713432,-0.0085171377286314,0.0208763126283884
b,VPD,14,-0.3034873517281745,0.4971788532131772,74124,-0.0705729890614748,0.0011677687871269,0.0345575902611017
b,VPD,15,-0.2193913935521633,0.6034045858168624,65746,-0.0299304658547043,0.0134456572122871,0.0445982813835144
b,VPD,16,-0.135295435376152,0.7323261877123806,53881,-0.016538543626666,0.0105645572766661,0.0433005802333354
b,VPD,17,-0.0511994772001408,0.8887927898050816,51401,-0.0059978268109261,0.0175707507878541,0.0507074072957038
b,VPD,18,0.0328964809758703,1.0786895736681643,42508,-0.0035428922274149,0.0196146545931696,0.0524060437455773
b,VPD,19,0.1169924391518816,1.309159131000135,35741,-0.0019786923658102,0.0176119357347488,0.0519578158855438
b,VPD,20,0.2010883973278928,1.588870118075575,32798,0.0019505930249579,0.0223644692450761,0.0508829038590192
b,VPD,21,0.2851843555039041,1.9283433100946936,21391,8.124315354507416e-05,0.0156075125560164,0.0404455959796905
b,VPD,22,0.3692803136799153,2.3403473193207143,12414,-0.0019534062885213,0.0080277281813323,0.0329302717000246
b,VPD,23,0.4533762718559266,2.8403788611596807,6685,-0.0030886279419064,0.005789702758193,0.0258933454751968
b,VPD,24,0.5374722300319379,3.447245632440756,3585,-0.0026383840013295,0.0037948081735521,0.0241969358175992
b,VPD,25,0.6215681882079491,4.183773725709965,2194,-0.0035480937222018,0.001615842920728,0.0190106448717415
b,VPD,26,0.7056641463839604,5.077666187525982,1547,-0.004262700676918,0.0008507187594659,0.0158430030569434
b,VPD,27,0.7897601045599716,6.16254501372907,1166,-0.0023317121667787,0.0019796235719695,0.0124287120997905
b,VPD,28,0.8738560627359828,7.479215774273011,745,-0.0013115750625729,0.0022141290828585,0.0152743151411414
b,VPD,29,0.9579520209119942,9.077202433980233,491,-0.002277438645251,0.0021891777869313,0.0178688885644078
d,SM,0,-1.480830766192332,0.0330498302953957,1696,-0.051039713434875,-0.0120913172140717,-0.0029077458311803
d,SM,1,-1.3967348080163209,0.0401111572461833,3091,-0.0944229215383529,-0.0190154686570167,-0.0057438418734818
d,SM,2,-1.3126388498403094,0.0486811859924191,8256,-0.1815776787698269,-0.1123068109154701,-0.020378521643579
d,SM,3,-1.2285428916642984,0.0590822612043684,15579,-0.1698517724871635,-0.1026481911540031,-0.0365397147834301
