Year,global_mean_TsTa_degC
2001,3.587982011761569
2002,3.7232123760065776
2003,3.673755338107908
2004,3.632745640823627
2005,3.705242798189825
2006,3.641080570240426
2007,3.6751891527890974
2008,3.6661637405849072
2009,3.6902859817774463
2010,3.5387149899690127
2011,3.5856892663030604
2012,3.7156439376793418
2013,3.685382713673546
2014,3.664585349795435
2015,3.770352809158508
2016,3.651169606413939
2017,3.624031925584664
2018,3.67045543760431
2019,3.733102830755725
2020,3.693301313645081
2021,3.734691272153453
2022,3.6714781305841138
2023,3.760883779702159
