regime,panel,variable_name,unit,bin_label,n_sites,median,ci95_low,ci95_high
dryland,a,Ts-Ta,degC,P0-10,73,0.9596669999999996,0.6356580000000003,1.6310339999999997
dryland,a,Ts-Ta,degC,P10-30,73,3.1964950000000005,2.470749,3.603927
dryland,a,Ts-Ta,degC,P30-50,73,5.603401999999998,4.578995500000001,6.130474
dryland,a,Ts-Ta,degC,P50-70,73,8.047424,6.770842999999999,8.979280999999997
dryland,a,Ts-Ta,degC,P70-90,73,10.5914235,9.895755500000002,11.898739000000006
dryland,a,Ts-Ta,degC,P90-100,73,14.738527,13.1947255,15.762398
dryland,b,H,W m-2,P0-10,73,74.30115,62.4199,87.7946
dryland,b,H,W m-2,P10-30,73,131.99599999999998,116.032,152.627
dryland,b,H,W m-2,P30-50,73,208.102,189.082,229.5105
dryland,b,H,W m-2,P50-70,73,277.303,257.523,312.7905
dryland,b,H,W m-2,P70-90,73,348.677,321.203,396.686
dryland,b,H,W m-2,P90-100,73,408.409,376.4355,436.133
dryland,c,EF,dimensionless,P0-10,73,0.5191376399089775,0.4719846470719594,0.5664163021891234
dryland,c,EF,dimensionless,P10-30,73,0.3828924889191709,0.3472427644958753,0.4250991924588948
dryland,c,EF,dimensionless,P30-50,73,0.3240728632076524,0.287801976779965,0.3795313617019971
dryland,c,EF,dimensionless,P50-70,73,0.2683748254604017,0.2302842661477531,0.2801791385493826
dryland,c,EF,dimensionless,P70-90,73,0.2190745760714233,0.1821888545700443,0.2362345962232522
dryland,c,EF,dimensionless,P90-100,73,0.1761563113149172,0.1530937349169988,0.1898200636715718
dryland,d,VPD,kPa,P0-10,73,0.57275,0.49055,0.6805999999999999
dryland,d,VPD,kPa,P10-30,73,0.6591,0.6115999999999999,0.8593500000000001
dryland,d,VPD,kPa,P30-50,73,0.9386,0.83705,1.0929
dryland,d,VPD,kPa,P50-70,73,1.3508,1.2255,1.4663
dryland,d,VPD,kPa,P70-90,73,1.9358500000000003,1.62935,2.1672
dryland,d,VPD,kPa,P90-100,73,2.2658,1.879,2.48905
dryland,e,SM,m3 m-3,P0-10,73,0.1614399999999999,0.126,0.195
